,code,stock_name,direction,price,quantity,fee,S_INFO_WINDCODE,TRADE_DT,S_DQ_CLOSE,PNL
0,002572.SZ,索菲亚,-1,18.72,1000,20.37,002572.SZ,20190726,18.8,-100.37000000000185
1,002670.SZ,国盛金控,-1,11.06,2200,26.49,002670.SZ,20190726,11.09,-92.48999999999859
2,300271.SZ,华宇软件,-1,19.3,840,17.64,300271.SZ,20190726,19.650000000000002,-311.6400000000012
3,300413.SZ,芒果超媒,-1,37.85,700,28.85,300413.SZ,20190726,37.76,34.150000000002386
4,603727.SH,博迈科,-1,21.12,3000,68.99,603727.SH,20190726,21.12,-68.99
5,000402.SZ,金 融 街,-1,7.73,1200,10.11,000402.SZ,20190726,7.7700000000000005,-58.11000000000004
6,002273.SZ,水晶光电,-1,10.68,700,8.14,002273.SZ,20190726,10.97,-211.14000000000067
7,300657.SZ,弘信电子,-1,25.06,6300,171.89,300657.SZ,20190726,25.5,-2943.890000000008
8,002234.SZ,民和股份,-1,33.16,300,10.83,002234.SZ,20190726,33.55,-127.83000000000017
9,000333.SZ,美的集团,-1,53.29,400,23.22,000333.SZ,20190726,53.43,-79.22000000000023
10,000333.SZ,美的集团,-1,53.29,1100,63.81,000333.SZ,20190726,53.43,-217.81000000000063
11,300271.SZ,华宇软件,-1,19.3,100,2.1,300271.SZ,20190726,19.650000000000002,-37.10000000000014
12,601166.SH,兴业银行,-1,19.21,700,14.64,601166.SH,20190726,19.22,-21.639999999998608
13,002384.SZ,东山精密,-1,15.88,500,8.65,002384.SZ,20190726,16.13,-133.64999999999912
14,300271.SZ,华宇软件,-1,19.3,460,9.67,300271.SZ,20190726,19.650000000000002,-170.67000000000064
15,600332.SH,白云山,-1,38.19,1000,41.57,600332.SH,20190726,38.42,-271.570000000004
16,000402.SZ,金 融 街,-1,7.73,100,0.85,000402.SZ,20190726,7.7700000000000005,-4.850000000000003
17,000858.SZ,五 粮 液,-1,121.46,1500,198.34,000858.SZ,20190726,121.25,116.65999999999062
18,300657.SZ,弘信电子,-1,25.06,300,8.19,300657.SZ,20190726,25.5,-140.1900000000004
19,002104.SZ,恒宝股份,-1,6.67,2300,16.71,002104.SZ,20190726,6.7,-85.71000000000058
20,002594.SZ,比亚迪,-1,57.42,300,18.75,002594.SZ,20190726,57.42,-18.75
21,300348.SZ,长亮科技,-1,13.63,800,11.87,300348.SZ,20190726,13.74,-99.86999999999955
22,000723.SZ,美锦能源,-1,9.57,1600,16.68,000723.SZ,20190726,9.49,111.3200000000001
23,600332.SH,白云山,-1,38.19,600,24.95,600332.SH,20190726,38.42,-162.95000000000238
24,000547.SZ,航天发展,-1,10.06,500,5.47,000547.SZ,20190726,10.13,-40.47000000000014
25,300567.SZ,精测电子,-1,48.07,1000,52.33,300567.SZ,20190726,49.78,-1762.3300000000008
26,002851.SZ,麦格米特,-1,20.88,300,6.83,002851.SZ,20190726,21.09,-69.83000000000025
27,002463.SZ,沪电股份,-1,15.99,600,10.44,002463.SZ,20190726,15.99,-10.44
28,002812.SZ,恩捷股份,-1,32.67,300,10.68,002812.SZ,20190726,33.29,-196.67999999999924
29,000547.SZ,航天发展,-1,10.06,300,3.29,000547.SZ,20190726,10.13,-24.290000000000084
30,600864.SH,哈投股份,-1,6.56,1000,7.14,600864.SH,20190726,6.5600000000000005,-7.140000000000888
31,002273.SZ,水晶光电,-1,10.68,200,2.32,002273.SZ,20190726,10.97,-60.320000000000185
32,002273.SZ,水晶光电,-1,10.68,1000,11.62,002273.SZ,20190726,10.97,-301.6200000000009
33,000547.SZ,航天发展,-1,10.06,400,4.38,000547.SZ,20190726,10.13,-32.380000000000116
34,002384.SZ,东山精密,-1,15.88,200,3.45,002384.SZ,20190726,16.13,-53.44999999999965
35,002104.SZ,恒宝股份,-1,6.67,100,0.72,002104.SZ,20190726,6.7,-3.7200000000000246
36,002273.SZ,水晶光电,-1,10.68,100,1.16,002273.SZ,20190726,10.97,-30.160000000000093
37,300628.SZ,亿联网络,-1,56.98,300,18.6,300628.SZ,20190726,56.910000000000004,2.399999999997952
38,002812.SZ,恩捷股份,-1,32.67,500,17.8,002812.SZ,20190726,33.29,-327.79999999999876
39,300657.SZ,弘信电子,-1,25.06,600,16.37,300657.SZ,20190726,25.5,-280.3700000000008
40,000690.SZ,宝新能源,-1,6.33,5000,34.45,000690.SZ,20190726,6.3500000000000005,-134.45000000000232
41,000636.SZ,风华高科,-1,10.48,309,3.52,000636.SZ,20190726,10.57,-31.329999999999956
42,002893.SZ,华通热力,-1,13.97,100,1.53,002893.SZ,20190726,14.0,-4.529999999999936
43,002273.SZ,水晶光电,-1,10.68,100,1.16,002273.SZ,20190726,10.97,-30.160000000000093
44,002384.SZ,东山精密,-1,15.88,100,1.73,002384.SZ,20190726,16.13,-26.729999999999823
45,603160.SH,汇顶科技,-1,156.82,200,34.15,603160.SH,20190726,162.5,-1170.1500000000015
46,511880.SH,银华日利,0,101.596,0,0.0,,,101.6,0.0
47,600064.SH,南京高科,0,9.74,0,0.0,600064.SH,20190726,9.77,0.0
48,600026.SH,中远海能,0,6.38,0,0.0,600026.SH,20190726,6.44,0.0
49,600053.SH,九鼎投资,0,22.89,0,0.0,600053.SH,20190726,23.01,0.0
50,600191.SH,华资实业,0,5.72,0,0.0,600191.SH,20190726,5.68,-0.0
51,600094.SH,大名城,0,7.52,0,0.0,600094.SH,20190726,7.49,-0.0
52,600306.SH,商业城,0,6.64,0,0.0,600306.SH,20190726,6.57,-0.0
53,600636.SH,三爱富,0,10.5,0,0.0,600636.SH,20190726,10.51,0.0
54,600673.SH,东阳光,0,7.95,0,0.0,600673.SH,20190726,7.97,0.0
55,000039.SZ,中集集团,0,0.0,0,0.0,000039.SZ,20190726,10.32,0.0
56,000153.SZ,丰原药业,0,0.0,0,0.0,000153.SZ,20190726,6.13,0.0
57,000158.SZ,常山北明,0,0.0,0,0.0,000158.SZ,20190726,5.33,0.0
58,000503.SZ,国新健康,0,0.0,0,0.0,000503.SZ,20190726,16.86,0.0
59,000402.SZ,金 融 街,0,0.0,0,0.0,000402.SZ,20190726,7.7700000000000005,0.0
60,600416.SH,湘电股份,0,5.66,0,0.0,600416.SH,20190726,5.67,0.0
61,600340.SH,华夏幸福,0,30.96,0,0.0,600340.SH,20190726,31.0,0.0
62,600645.SH,中源协和,0,16.06,0,0.0,600645.SH,20190726,16.11,0.0
63,601318.SH,中国平安,0,89.67,0,0.0,601318.SH,20190726,90.10000000000001,0.0
64,601669.SH,中国电建,0,5.01,0,0.0,601669.SH,20190726,5.0200000000000005,0.0
65,600685.SH,中船防务,0,16.17,0,0.0,600685.SH,20190726,16.25,0.0
66,601377.SH,兴业证券,0,6.53,0,0.0,601377.SH,20190726,6.55,0.0
67,601628.SH,中国人寿,0,30.17,0,0.0,601628.SH,20190726,30.3,0.0
68,603189.SH,网达软件,0,17.77,0,0.0,603189.SH,20190726,17.87,0.0
69,000559.SZ,万向钱潮,0,0.0,0,0.0,000559.SZ,20190726,5.8500000000000005,0.0
70,000568.SZ,泸州老窖,0,0.0,0,0.0,000568.SZ,20190726,82.21000000000001,0.0
71,000636.SZ,风华高科,0,0.0,0,0.0,000636.SZ,20190726,10.57,0.0
72,000697.SZ,炼石航空,0,0.0,0,0.0,000697.SZ,20190726,10.86,0.0
73,000686.SZ,东北证券,0,0.0,0,0.0,000686.SZ,20190726,9.0,0.0
74,000705.SZ,浙江震元,0,0.0,0,0.0,000705.SZ,20190726,6.43,0.0
75,000732.SZ,泰禾集团,0,0.0,0,0.0,000732.SZ,20190726,7.0,0.0
76,000762.SZ,西藏矿业,0,0.0,0,0.0,000762.SZ,20190726,7.46,0.0
77,000822.SZ,山东海化,0,0.0,0,0.0,000822.SZ,20190726,5.08,0.0
78,000948.SZ,南天信息,0,0.0,0,0.0,000948.SZ,20190726,10.43,0.0
79,002057.SZ,中钢天源,0,0.0,0,0.0,002057.SZ,20190726,9.91,0.0
80,000966.SZ,长源电力,0,0.0,0,0.0,000966.SZ,20190726,5.11,0.0
81,002065.SZ,东华软件,0,0.0,0,0.0,002065.SZ,20190726,6.8100000000000005,0.0
82,002091.SZ,江苏国泰,0,0.0,0,0.0,002091.SZ,20190726,5.38,0.0
83,002097.SZ,山河智能,0,0.0,0,0.0,002097.SZ,20190726,6.08,0.0
84,002139.SZ,拓邦股份,0,0.0,0,0.0,002139.SZ,20190726,5.89,0.0
85,002332.SZ,仙琚制药,0,0.0,0,0.0,002332.SZ,20190726,6.65,0.0
86,002384.SZ,东山精密,0,0.0,0,0.0,002384.SZ,20190726,16.13,0.0
87,002423.SZ,中原特钢,0,0.0,0,0.0,002423.SZ,20190726,9.25,0.0
88,002462.SZ,嘉事堂,0,0.0,0,0.0,002462.SZ,20190726,15.120000000000001,0.0
89,002478.SZ,常宝股份,0,0.0,0,0.0,002478.SZ,20190726,6.48,0.0
90,002524.SZ,光正集团,0,0.0,0,0.0,002524.SZ,20190726,4.99,0.0
91,002648.SZ,卫星石化,0,0.0,0,0.0,002648.SZ,20190726,13.950000000000001,0.0
92,002655.SZ,共达电声,0,0.0,0,0.0,002655.SZ,20190726,8.75,0.0
93,603026.SH,石大胜华,0,30.55,0,0.0,603026.SH,20190726,30.55,0.0
94,600787.SH,中储股份,0,5.63,0,0.0,600787.SH,20190726,5.65,0.0
95,601801.SH,皖新传媒,0,5.81,0,0.0,601801.SH,20190726,5.83,0.0
96,002707.SZ,众信旅游,0,0.0,0,0.0,002707.SZ,20190726,5.8100000000000005,0.0
97,002746.SZ,仙坛股份,0,0.0,0,0.0,002746.SZ,20190726,16.62,0.0
98,002803.SZ,吉宏股份,0,0.0,0,0.0,002803.SZ,20190726,19.47,0.0
99,002893.SZ,华通热力,0,0.0,0,0.0,002893.SZ,20190726,14.0,0.0
100,002851.SZ,麦格米特,0,0.0,0,0.0,002851.SZ,20190726,21.09,0.0
101,002916.SZ,深南电路,0,0.0,0,0.0,002916.SZ,20190726,114.3,0.0
102,300006.SZ,莱美药业,0,0.0,0,0.0,300006.SZ,20190726,4.69,0.0
103,300010.SZ,立思辰,0,0.0,0,0.0,300010.SZ,20190726,9.200000000000001,0.0
104,300030.SZ,阳普医疗,0,0.0,0,0.0,300030.SZ,20190726,5.73,0.0
105,300040.SZ,九洲电气,0,0.0,0,0.0,300040.SZ,20190726,5.89,0.0
106,300045.SZ,华力创通,0,0.0,0,0.0,300045.SZ,20190726,8.91,0.0
107,300120.SZ,经纬辉开,0,0.0,0,0.0,300120.SZ,20190726,6.33,0.0
108,300130.SZ,新国都,0,0.0,0,0.0,300130.SZ,20190726,16.02,0.0
109,300147.SZ,香雪制药,0,0.0,0,0.0,300147.SZ,20190726,6.45,0.0
110,300166.SZ,东方国信,0,0.0,0,0.0,300166.SZ,20190726,11.81,0.0
111,300207.SZ,欣旺达,0,0.0,0,0.0,300207.SZ,20190726,12.17,0.0
112,300630.SZ,普利制药,0,0.0,0,0.0,300630.SZ,20190726,45.57,0.0
113,300616.SZ,尚品宅配,0,0.0,0,0.0,300616.SZ,20190726,77.37,0.0
114,300702.SZ,天宇股份,0,0.0,0,0.0,300702.SZ,20190726,33.980000000000004,0.0
115,300751.SZ,迈为股份,0,0.0,0,0.0,300751.SZ,20190726,123.29,0.0
116,300766.SZ,每日互动,0,0.0,0,0.0,300766.SZ,20190726,40.88,0.0
117,510500.SH,500ETF,0,5.247000000000001,0,0.0,,,5.285,0.0
118,600036.SH,招商银行,0,37.19,0,0.0,600036.SH,20190726,37.22,0.0
119,600089.SH,特变电工,0,7.0,0,0.0,600089.SH,20190726,7.0200000000000005,0.0
120,600019.SH,宝钢股份,0,6.29,0,0.0,600019.SH,20190726,6.29,0.0
121,000034.SZ,神州数码,0,0.0,0,0.0,000034.SZ,20190726,13.1,0.0
122,600649.SH,城投控股,0,6.35,0,0.0,600649.SH,20190726,6.37,0.0
123,600546.SH,山煤国际,0,6.8,0,0.0,600546.SH,20190726,6.92,0.0
124,600418.SH,江淮汽车,0,5.11,0,0.0,600418.SH,20190726,5.21,0.0
125,600519.SH,贵州茅台,0,967.5,0,0.0,600519.SH,20190726,965.03,-0.0
126,600532.SH,宏达矿业,0,4.81,0,0.0,600532.SH,20190726,4.78,-0.0
127,600675.SH,中华企业,0,5.13,0,0.0,600675.SH,20190726,5.14,0.0
128,600699.SH,均胜电子,0,21.76,0,0.0,600699.SH,20190726,21.830000000000002,0.0
129,600784.SH,鲁银投资,0,5.0,0,0.0,600784.SH,20190726,5.0,0.0
130,600837.SH,XD海通证,0,13.77,0,0.0,600837.SH,20190726,13.81,0.0
131,600864.SH,哈投股份,0,6.56,0,0.0,600864.SH,20190726,6.5600000000000005,0.0
132,600985.SH,淮北矿业,0,11.2,0,0.0,600985.SH,20190726,11.290000000000001,0.0
133,600682.SH,南京新百,0,11.89,0,0.0,600682.SH,20190726,11.89,0.0
134,600694.SH,大商股份,0,27.47,0,0.0,600694.SH,20190726,27.57,0.0
135,600958.SH,东方证券,0,10.35,0,0.0,600958.SH,20190726,10.36,0.0
136,000061.SZ,农 产 品,0,0.0,0,0.0,000061.SZ,20190726,5.3100000000000005,0.0
137,000401.SZ,冀东水泥,0,0.0,0,0.0,000401.SZ,20190726,17.330000000000002,0.0
138,600469.SH,XD风神股,0,5.62,0,0.0,600469.SH,20190726,5.64,0.0
139,600594.SH,益佰制药,0,4.95,0,0.0,600594.SH,20190726,4.95,0.0
140,600643.SH,爱建集团,0,9.28,0,0.0,600643.SH,20190726,9.33,0.0
141,600739.SH,辽宁成大,0,13.87,0,0.0,600739.SH,20190726,13.91,0.0
142,600999.SH,招商证券,0,16.95,0,0.0,600999.SH,20190726,17.0,0.0
143,603817.SH,海峡环保,0,7.13,0,0.0,603817.SH,20190726,7.21,0.0
144,601555.SH,东吴证券,0,10.05,0,0.0,601555.SH,20190726,10.08,0.0
145,601677.SH,明泰铝业,0,10.27,0,0.0,601677.SH,20190726,10.27,0.0
146,603116.SH,红蜻蜓,0,7.62,0,0.0,603116.SH,20190726,7.65,0.0
147,601919.SH,中远海控,0,4.78,0,0.0,601919.SH,20190726,4.83,0.0
148,000584.SZ,哈工智能,0,0.0,0,0.0,000584.SZ,20190726,6.3,0.0
149,000661.SZ,长春高新,0,0.0,0,0.0,000661.SZ,20190726,337.8,0.0
150,000685.SZ,中山公用,0,0.0,0,0.0,000685.SZ,20190726,8.42,0.0
151,000701.SZ,厦门信达,0,0.0,0,0.0,000701.SZ,20190726,6.0,0.0
152,000936.SZ,华西股份,0,0.0,0,0.0,000936.SZ,20190726,8.31,0.0
153,000960.SZ,锡业股份,0,0.0,0,0.0,000960.SZ,20190726,10.6,0.0
154,002013.SZ,中航机电,0,0.0,0,0.0,002013.SZ,20190726,6.92,0.0
155,002127.SZ,南极电商,0,0.0,0,0.0,002127.SZ,20190726,10.74,0.0
156,002208.SZ,合肥城建,0,0.0,0,0.0,002208.SZ,20190726,7.75,0.0
157,002234.SZ,民和股份,0,0.0,0,0.0,002234.SZ,20190726,33.55,0.0
158,002299.SZ,圣农发展,0,0.0,0,0.0,002299.SZ,20190726,26.69,0.0
159,002322.SZ,理工环科,0,0.0,0,0.0,002322.SZ,20190726,12.44,0.0
160,002405.SZ,四维图新,0,0.0,0,0.0,002405.SZ,20190726,14.9,0.0
161,002432.SZ,九安医疗,0,0.0,0,0.0,002432.SZ,20190726,5.51,0.0
162,002448.SZ,中原内配,0,0.0,0,0.0,002448.SZ,20190726,5.39,0.0
163,002449.SZ,国星光电,0,0.0,0,0.0,002449.SZ,20190726,12.16,0.0
164,002458.SZ,益生股份,0,0.0,0,0.0,002458.SZ,20190726,26.07,0.0
165,002512.SZ,达华智能,0,0.0,0,0.0,002512.SZ,20190726,4.75,0.0
166,002527.SZ,新时达,0,0.0,0,0.0,002527.SZ,20190726,4.98,0.0
167,002573.SZ,清新环境,0,0.0,0,0.0,002573.SZ,20190726,7.37,0.0
168,002583.SZ,海能达,0,0.0,0,0.0,002583.SZ,20190726,9.35,0.0
169,002551.SZ,尚荣医疗,0,0.0,0,0.0,002551.SZ,20190726,4.96,0.0
170,002627.SZ,宜昌交运,0,0.0,0,0.0,002627.SZ,20190726,7.140000000000001,0.0
171,600785.SH,新华百货,0,15.75,0,0.0,600785.SH,20190726,15.8,0.0
172,603508.SH,思维列控,0,67.71,0,0.0,603508.SH,20190726,67.7,-0.0
173,600851.SH,海欣股份,0,7.28,0,0.0,600851.SH,20190726,7.25,-0.0
174,603444.SH,吉比特,0,210.58,0,0.0,603444.SH,20190726,211.5,0.0
175,603878.SH,武进不锈,0,9.93,0,0.0,603878.SH,20190726,10.03,0.0
176,300049.SZ,福瑞股份,0,0.0,0,0.0,300049.SZ,20190726,8.14,0.0
177,300088.SZ,长信科技,0,0.0,0,0.0,300088.SZ,20190726,5.68,0.0
178,300098.SZ,高新兴,0,0.0,0,0.0,300098.SZ,20190726,7.21,0.0
179,300231.SZ,银信科技,0,0.0,0,0.0,300231.SZ,20190726,7.09,0.0
180,300253.SZ,卫宁健康,0,0.0,0,0.0,300253.SZ,20190726,13.43,0.0
181,300257.SZ,开山股份,0,0.0,0,0.0,300257.SZ,20190726,10.46,0.0
182,300270.SZ,中威电子,0,0.0,0,0.0,300270.SZ,20190726,6.76,0.0
183,300296.SZ,利亚德,0,0.0,0,0.0,300296.SZ,20190726,7.0200000000000005,0.0
184,300324.SZ,旋极信息,0,0.0,0,0.0,300324.SZ,20190726,5.28,0.0
185,300383.SZ,光环新网,0,0.0,0,0.0,300383.SZ,20190726,19.13,0.0
186,300397.SZ,天和防务,0,0.0,0,0.0,300397.SZ,20190726,19.830000000000002,0.0
187,300413.SZ,芒果超媒,0,0.0,0,0.0,300413.SZ,20190726,37.76,0.0
188,300461.SZ,田中精机,0,0.0,0,0.0,300461.SZ,20190726,20.42,0.0
189,300418.SZ,昆仑万维,0,0.0,0,0.0,300418.SZ,20190726,12.9,0.0
190,300502.SZ,新易盛,0,0.0,0,0.0,300502.SZ,20190726,27.7,0.0
191,300575.SZ,中旗股份,0,0.0,0,0.0,300575.SZ,20190726,26.95,0.0
192,000401.SZ,冀东水泥,-1,17.09,4200,78.16,000401.SZ,20190726,17.330000000000002,-1086.1600000000085
193,000948.SZ,南天信息,-1,10.38,2400,27.12,000948.SZ,20190726,10.43,-147.11999999999745
194,300383.SZ,光环新网,-1,18.94,100,2.06,300383.SZ,20190726,19.13,-21.05999999999977
195,000686.SZ,东北证券,-1,8.98,100,0.98,000686.SZ,20190726,9.0,-2.9799999999999573
196,300130.SZ,新国都,-1,15.99,200,3.48,300130.SZ,20190726,16.02,-9.479999999999873
197,000686.SZ,东北证券,-1,8.98,400,3.9,000686.SZ,20190726,9.0,-11.89999999999983
198,300253.SZ,卫宁健康,-1,13.3,1500,21.72,300253.SZ,20190726,13.43,-216.71999999999852
199,002524.SZ,光正集团,-1,4.97,1900,10.28,002524.SZ,20190726,4.99,-48.28000000000088
200,300270.SZ,中威电子,-1,6.73,2600,19.05,300270.SZ,20190726,6.76,-97.04999999999833
201,300383.SZ,光环新网,-1,18.94,100,2.06,300383.SZ,20190726,19.13,-21.05999999999977
202,002655.SZ,共达电声,-1,8.74,600,5.7,002655.SZ,20190726,8.75,-11.699999999999871
203,300130.SZ,新国都,-1,15.99,100,1.74,300130.SZ,20190726,16.02,-4.739999999999936
204,300130.SZ,新国都,-1,15.99,200,3.48,300130.SZ,20190726,16.02,-9.479999999999873
205,300130.SZ,新国都,-1,15.99,400,6.97,300130.SZ,20190726,16.02,-18.969999999999743
206,300130.SZ,新国都,-1,15.99,200,3.48,300130.SZ,20190726,16.02,-9.479999999999873
207,300130.SZ,新国都,-1,15.99,100,1.74,300130.SZ,20190726,16.02,-4.739999999999936
208,300130.SZ,新国都,-1,15.99,300,5.23,300130.SZ,20190726,16.02,-14.229999999999809
209,300130.SZ,新国都,-1,15.98,1900,33.06,300130.SZ,20190726,16.02,-109.05999999999838
210,300502.SZ,新易盛,-1,27.18,200,5.92,300502.SZ,20190726,27.7,-109.91999999999992
211,000686.SZ,东北证券,-1,8.98,100,0.98,000686.SZ,20190726,9.0,-2.9799999999999573
212,300383.SZ,光环新网,-1,18.94,100,2.06,300383.SZ,20190726,19.13,-21.05999999999977
213,603026.SH,石大胜华,-1,30.55,100,3.33,603026.SH,20190726,30.55,-3.33
214,300270.SZ,中威电子,-1,6.73,200,1.48,300270.SZ,20190726,6.76,-7.4799999999998725
215,300270.SZ,中威电子,-1,6.73,700,5.12,300270.SZ,20190726,6.76,-26.119999999999553
216,300270.SZ,中威电子,-1,6.73,700,5.12,300270.SZ,20190726,6.76,-26.119999999999553
217,000686.SZ,东北证券,-1,8.98,100,0.98,000686.SZ,20190726,9.0,-2.9799999999999573
218,000686.SZ,东北证券,-1,8.98,100,0.98,000686.SZ,20190726,9.0,-2.9799999999999573
219,000686.SZ,东北证券,-1,8.98,100,0.98,000686.SZ,20190726,9.0,-2.9799999999999573
220,000401.SZ,冀东水泥,-1,17.09,100,1.85,000401.SZ,20190726,17.330000000000002,-25.8500000000002
221,000686.SZ,东北证券,-1,8.98,100,0.98,000686.SZ,20190726,9.0,-2.9799999999999573
222,600026.SH,中远海能,-1,6.37,11500,79.77,600026.SH,20190726,6.44,-884.7700000000033
223,000034.SZ,神州数码,-1,12.96,200,2.82,000034.SZ,20190726,13.1,-30.81999999999976
224,300270.SZ,中威电子,-1,6.73,500,3.67,300270.SZ,20190726,6.76,-18.669999999999682
225,300270.SZ,中威电子,-1,6.73,700,5.12,300270.SZ,20190726,6.76,-26.119999999999553
226,300270.SZ,中威电子,-1,6.73,100,0.72,300270.SZ,20190726,6.76,-3.719999999999936
227,300383.SZ,光环新网,-1,18.94,100,2.06,300383.SZ,20190726,19.13,-21.05999999999977
228,300270.SZ,中威电子,-1,6.73,100,0.72,300270.SZ,20190726,6.76,-3.719999999999936
229,000401.SZ,冀东水泥,-1,17.09,1100,20.48,000401.SZ,20190726,17.330000000000002,-284.4800000000022
230,600026.SH,中远海能,-1,6.37,100,0.69,600026.SH,20190726,6.44,-7.690000000000028
231,000686.SZ,东北证券,-1,8.98,100,0.98,000686.SZ,20190726,9.0,-2.9799999999999573
232,000034.SZ,神州数码,-1,12.96,400,5.63,000034.SZ,20190726,13.1,-61.62999999999952
233,300383.SZ,光环新网,-1,18.94,100,2.06,300383.SZ,20190726,19.13,-21.05999999999977
234,000686.SZ,东北证券,-1,8.98,100,0.98,000686.SZ,20190726,9.0,-2.9799999999999573
235,300383.SZ,光环新网,-1,18.94,1000,20.62,300383.SZ,20190726,19.13,-210.61999999999773
236,300270.SZ,中威电子,-1,6.73,1000,7.32,300270.SZ,20190726,6.76,-37.31999999999936
237,000686.SZ,东北证券,-1,8.98,100,0.98,000686.SZ,20190726,9.0,-2.9799999999999573
238,000686.SZ,东北证券,-1,8.98,100,0.98,000686.SZ,20190726,9.0,-2.9799999999999573
239,002384.SZ,东山精密,-1,15.85,100,1.73,002384.SZ,20190726,16.13,-29.729999999999936
240,300766.SZ,每日互动,-1,41.44,500,22.55,300766.SZ,20190726,40.88,257.4499999999976
241,600026.SH,中远海能,-1,6.37,100,0.69,600026.SH,20190726,6.44,-7.690000000000028
242,300575.SZ,中旗股份,-1,26.59,200,5.8,300575.SZ,20190726,26.95,-77.79999999999988
243,300270.SZ,中威电子,-1,6.73,600,4.4,300270.SZ,20190726,6.76,-22.399999999999615
244,000686.SZ,东北证券,-1,8.98,100,0.98,000686.SZ,20190726,9.0,-2.9799999999999573
245,000686.SZ,东北证券,-1,8.98,1200,11.74,000686.SZ,20190726,9.0,-35.73999999999949
246,002655.SZ,共达电声,-1,8.74,200,1.9,002655.SZ,20190726,8.75,-3.8999999999999573
247,000732.SZ,泰禾集团,-1,6.96,1000,7.58,000732.SZ,20190726,7.0,-47.580000000000034
